nome,cpf,salario
Victor Enrico Santos,91144979056,1250
Jose Tiago Eduardo Cardoso,00505217058,2000
Carlos Eduardo Fernando Dias,93714995080,1250
Caio Mateus Figueiredo,79914970036,1250
Martin Luiz Assis,47602760093,1550
Andrea Sara Silva,39273422039,1250
Olivia Beatriz das Neves,06889431014,1250
Theo Daniel da Luz,58401496080,1250
Julio Nelson Ryan Martins,85269881071,1150
Noah Gabriel Barbosa,94493881054,1000
Anderson Rodrigo Ferreira,40582973015,1400
Patricia Luana Jaqueline Teixeira,22397004089,1250
Cristiane Giovana Brenda Drumond,37075167090,1250
Davi Thales Corte Real,14747258051,1250
Clara Aparecida Stefany Moura,07585152000,1240
Priscila Luciana Milena Rezende,47077589080,1110
Thiago Oliver Antonio Melo,04231159017,1250
Pedro Alexandre Kaique,62083779002,1300
Manoel Vinicius Heitor Almeida,51792113013,1750
felipe,08137010157,250.0
