dia,mes,codigo,cpf,idade,valor
02,09,20220902004,02736811178,36,80.01
02,09,20220902005,31541989031,24,80.00
02,09,20220902006,28172988028,25,80.00
02,09,20220902007,05177331024,27,80.00
02,09,20220902008,59939068042,27,80.00
02,09,20220902009,67809072005,24,80.00
02,09,20220902010,19692826066,54,80.00
02,09,20220902011,33890374034,34,80.00
02,09,20220902012,19204786043,59,80.00
02,09,20220902013,56337883039,32,80.00
02,09,20220902014,53132877026,23,80.00
02,09,20220902015,50639006078,31,80.00
02,09,20220902016,40328498033,21,80.00
02,09,20220902017,43429734053,25,80.00
02,09,20220902018,64827771049,54,80.00
02,09,20220902019,72724678001,21,80.00
02,09,20220902020,44234999083,24,80.00
02,09,20220902021,03006006070,17,45.00
02,09,20220902022,44234999083,15,45.00
02,09,20220902023,91331604060,10,45.00
02,09,20220902024,93395270033,11,45.00
02,09,20220902025,76911557003,61,30.00
02,09,20220902026,66208352010,60,30.00
02,09,20220902027,79983139006,65,30.00
02,09,20220902028,03290439003,71,30.00
02,09,20220902029,84611501043,73,30.00
05,09,20220905001,08137010157,19,30.0
02,09,20220902002,02736811178,30,80.0
05,09,20220905003,08137010157,20,30.0
06,09,20220906001,08137010157,19,30.0
